Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1981","1981","100 g/ha","41471","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1982","1982","100 g/ha","47788","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1983","1983","100 g/ha","47555","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1984","1984","100 g/ha","50914","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1985","1985","100 g/ha","52694","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1986","1986","100 g/ha","48249","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1987","1987","100 g/ha","49629","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1988","1988","100 g/ha","55460","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1989","1989","100 g/ha","52897","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1990","1990","100 g/ha","55773","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1991","1991","100 g/ha","54565","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1992","1992","100 g/ha","51527","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1993","1993","100 g/ha","50888","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1994","1994","100 g/ha","53917","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1995","1995","100 g/ha","55020","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1996","1996","100 g/ha","53910","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1997","1997","100 g/ha","59009","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1998","1998","100 g/ha","56753","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1999","1999","100 g/ha","59269","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2000","2000","100 g/ha","54039","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2001","2001","100 g/ha","58562","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2002","2002","100 g/ha","58310","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2003","2003","100 g/ha","52554","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2004","2004","100 g/ha","64955","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2005","2005","100 g/ha","61331","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2006","2006","100 g/ha","57218","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2007","2007","100 g/ha","58441","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2008","2008","100 g/ha","68073","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2009","2009","100 g/ha","61495","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2010","2010","100 g/ha","59031","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2011","2011","100 g/ha","70567","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2012","2012","100 g/ha","60029","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2013","2013","100 g/ha","58468","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2014","2014","100 g/ha","70467","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2015","2015","100 g/ha","61981","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2016","2016","100 g/ha","72464","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2017","2017","100 g/ha","62606","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2018","2018","100 g/ha","61458","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2019","2019","100 g/ha","69543","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2020","2020","100 g/ha","73864","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","2021","2021","100 g/ha","71124","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","1992","1992","100 g/ha","90000","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","1993","1993","100 g/ha","83570","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","1994","1994","100 g/ha","82094","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","1995","1995","100 g/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","1996","1996","100 g/ha","7678","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","1997","1997","100 g/ha","7857","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","1998","1998","100 g/ha","8036","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","1999","1999","100 g/ha","8215","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2000","2000","100 g/ha","8393","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2001","2001","100 g/ha","8571","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2002","2002","100 g/ha","46801","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2003","2003","100 g/ha","51166","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2004","2004","100 g/ha","50804","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2005","2005","100 g/ha","41521","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2006","2006","100 g/ha","54943","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2007","2007","100 g/ha","53771","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2008","2008","100 g/ha","64005","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2009","2009","100 g/ha","69698","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2010","2010","100 g/ha","61121","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2011","2011","100 g/ha","61209","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2012","2012","100 g/ha","69094","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2013","2013","100 g/ha","37400","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2014","2014","100 g/ha","43323","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2015","2015","100 g/ha","44674","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2016","2016","100 g/ha","50820","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F17530","Fibre Crops, Fibre Equivalent","2017","2017","100 g/ha","46372","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1961","1961","100 g/ha","331746","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1962","1962","100 g/ha","249525","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1963","1963","100 g/ha","273583","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1964","1964","100 g/ha","314647","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1965","1965","100 g/ha","152415","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1966","1966","100 g/ha","212034","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1967","1967","100 g/ha","223817","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1968","1968","100 g/ha","234341","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1969","1969","100 g/ha","208424","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1970","1970","100 g/ha","229317","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1971","1971","100 g/ha","162587","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1972","1972","100 g/ha","151722","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1973","1973","100 g/ha","201592","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1974","1974","100 g/ha","179260","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1975","1975","100 g/ha","225594","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1976","1976","100 g/ha","228181","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1977","1977","100 g/ha","186297","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1978","1978","100 g/ha","214235","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1979","1979","100 g/ha","204561","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1980","1980","100 g/ha","195916","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1981","1981","100 g/ha","141969","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1982","1982","100 g/ha","264372","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1983","1983","100 g/ha","206822","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1984","1984","100 g/ha","186723","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1985","1985","100 g/ha","72753","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1986","1986","100 g/ha","98359","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1987","1987","100 g/ha","78457","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1988","1988","100 g/ha","118974","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1989","1989","100 g/ha","93595","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1990","1990","100 g/ha","114934","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1991","1991","100 g/ha","128262","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1992","1992","100 g/ha","119458","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1993","1993","100 g/ha","133072","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1994","1994","100 g/ha","140718","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1995","1995","100 g/ha","147962","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1996","1996","100 g/ha","138073","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1997","1997","100 g/ha","154106","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1998","1998","100 g/ha","168111","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","1999","1999","100 g/ha","164934","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2000","2000","100 g/ha","177195","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2001","2001","100 g/ha","169273","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2002","2002","100 g/ha","177067","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2003","2003","100 g/ha","183611","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2004","2004","100 g/ha","196132","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2005","2005","100 g/ha","171997","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2006","2006","100 g/ha","185176","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2007","2007","100 g/ha","195857","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2008","2008","100 g/ha","206459","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2009","2009","100 g/ha","195144","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2010","2010","100 g/ha","123845","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2011","2011","100 g/ha","168316","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2012","2012","100 g/ha","137304","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2013","2013","100 g/ha","139933","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2014","2014","100 g/ha","140421","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2015","2015","100 g/ha","147094","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2016","2016","100 g/ha","83948","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2017","2017","100 g/ha","117150","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2018","2018","100 g/ha","164612","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2019","2019","100 g/ha","112432","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2020","2020","100 g/ha","123891","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1738","Fruit Primary","2021","2021","100 g/ha","118038","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","1991","1991","100 g/ha","15674","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","1992","1992","100 g/ha","13118","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","1993","1993","100 g/ha","14492","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","1994","1994","100 g/ha","15676","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","1995","1995","100 g/ha","15253","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","1996","1996","100 g/ha","10572","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","1997","1997","100 g/ha","11983","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","1998","1998","100 g/ha","13162","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","1999","1999","100 g/ha","14715","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2000","2000","100 g/ha","12068","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2001","2001","100 g/ha","13028","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2002","2002","100 g/ha","12615","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2003","2003","100 g/ha","11294","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2004","2004","100 g/ha","15000","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2005","2005","100 g/ha","14148","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2006","2006","100 g/ha","14296","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2007","2007","100 g/ha","14048","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2008","2008","100 g/ha","15767","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2009","2009","100 g/ha","14941","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2010","2010","100 g/ha","15088","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2011","2011","100 g/ha","16263","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2012","2012","100 g/ha","14431","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2013","2013","100 g/ha","14951","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2014","2014","100 g/ha","17187","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2015","2015","100 g/ha","13669","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2016","2016","100 g/ha","16727","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1841","Oilcrops, Cake Equivalent","2017","2017","100 g/ha","16676","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1961","1961","100 g/ha","18564","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1962","1962","100 g/ha","17949","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1963","1963","100 g/ha","21632","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1964","1964","100 g/ha","24302","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1965","1965","100 g/ha","23765","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1966","1966","100 g/ha","26509","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1967","1967","100 g/ha","28290","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1968","1968","100 g/ha","25691","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1969","1969","100 g/ha","22382","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1970","1970","100 g/ha","23765","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1971","1971","100 g/ha","21802","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1972","1972","100 g/ha","22750","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1973","1973","100 g/ha","22576","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1974","1974","100 g/ha","23361","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1975","1975","100 g/ha","27265","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1976","1976","100 g/ha","27689","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1977","1977","100 g/ha","27848","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1978","1978","100 g/ha","28095","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1979","1979","100 g/ha","28525","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1980","1980","100 g/ha","28875","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1981","1981","100 g/ha","28889","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1982","1982","100 g/ha","29237","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1983","1983","100 g/ha","30145","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1984","1984","100 g/ha","31013","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1985","1985","100 g/ha","34639","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1986","1986","100 g/ha","37518","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1987","1987","100 g/ha","35976","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1988","1988","100 g/ha","37462","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1989","1989","100 g/ha","36303","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1990","1990","100 g/ha","34449","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1726","Pulses, Total","1991","1991","100 g/ha","32550","A","Official figure",""
